palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
libro, sustantivo, book, The library has a vast collection of books., 本, ほん, 図書館には豊富な本があります, としょかんにはほうふなほんがあります
estantería, sustantivo, bookshelf, The librarian organized the books on the bookshelf., 本棚, ほんだな, 司書は本棚に本を整理しました, ししょはほんだなにほんをせいりしました
lectura, sustantivo, reading, Reading helps expand your knowledge., 読書, どくしょ, 読書は知識を拡大するのに役立ちます, どくしょはちしきをかくだいするのにやくだちます
silencio, sustantivo, silence, The library requires silence for studying., 静寂, せいじゃく, 図書館では静寂が必要です, としょかんではせいじゃくがひつようです
prestar, verbo, lend, The librarian lends books to library members., 貸す, かす, 司書は図書館のメンバーに本を貸します, ししょはとしょかんのめんばーにほんをかします
préstamo, sustantivo, loan, You can renew your loan online., 貸出, かしだし, 貸出はオンラインで更新できます, かしだしはおんらいんでこうしんできます
bibliotecario, sustantivo, librarian, The librarian helps patrons find books., 司書, ししょ, 司書は利用者が本を見つけるのを手伝います, ししょはりようしゃがほんをみつけるのをてつだいます
leer, verbo, read, You can read newspapers and magazines in the library., 読む, よむ, 図書館で新聞や雑誌を読むことができます, としょかんでしんぶんやざっしをよむことができます
investigar, verbo, research, The students research topics for their assignments., 調査する, ちょうさする, 学生は課題のためのトピックを調査します, がくせいはかだいのためのとぴっくをちょうさします
conocimiento, sustantivo, knowledge, Libraries are places of knowledge and learning., 知識, ちしき, 図書館は知識と学びの場所です, としょかんはちしきとまなびのばしょです
revista, sustantivo, magazine, The library subscribes to a variety of magazines., 雑誌, ざっし, 図書館はさまざまな雑誌に加入しています, としょかんはさまざまなざっしにかにゅうしています
referencia, sustantivo, reference, Encyclopedias are often used as reference materials., 参照, さんしょう, 百科事典は参照資料としてよく使われます, ひゃっかじてんはさんしょうしりょうとしてよくつかわれます
estudio, sustantivo, study, The library offers quiet spaces for study., 勉強, べんきょう, 図書館は静かな勉強スペースを提供しています, としょかんはしずかなべんきょうすぺーすをていきょうしています
enciclopedia, sustantivo, encyclopedia, Encyclopedias contain a wealth of information., 百科事典, ひゃっかじてん, 百科事典には多くの情報が含まれています, ひゃっかじてんにはおおくのじょうほうがふくまれています
consulta, sustantivo, consultation, The librarian is available for consultation., 相談, そうだん, 司書は相談に対応しています, ししょはそうだんにたいおうしています
colección, sustantivo, collection, The library has an extensive collection of rare books., コレクション, これくしょん, 図書館には貴重な本の豊富なコレクションがあります, としょかんにはきちょうなほんのほうふなこれくしょんがあります
