palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
aeropuerto, sustantivo, airport, The airport is bustling with travelers., 空港, くうこう, 空港は旅行者でにぎわっています, くうこうはりょこうしゃでにぎわっています
avión, sustantivo, airplane, The airplane taxied down the runway., 飛行機, ひこうき, 飛行機は滑走路を進んでいます, ひこうきはかっそうろをすすんでいます
boleto, sustantivo, ticket, You need a ticket to board the plane., チケット, ちけっと, 飛行機に乗るにはチケットが必要です, ひこうきにのるにはちけっとがひつようです
maleta, sustantivo, suitcase, The traveler carried a heavy suitcase., スーツケース, すーつけーす, 旅行者は重いスーツケースを持っていました, りょこうしゃはおもいすーつけーすをもっていました
terminal, sustantivo, terminal, The departure terminal is busy., ターミナル, たーみなる, 出発ターミナルは混雑しています, しゅっぱつたーみなるはこんざつしています
seguridad, sustantivo, security, Passengers must go through security before boarding., セキュリティ, せきゅりてぃ, 乗る前に乗客はセキュリティを通過しなければなりません, のるまえにじょうきゃくはせきゅりてぃをつうかしなければなりません
embarcar, verbo, board, Passengers are ready to board the plane., 搭乗, とうじょう, 乗客は飛行機に乗る準備ができています, じょうきゃくはひこうきにのるじゅんびができています
destino, sustantivo, destination, Tokyo is a popular destination for travelers., 目的地, もくてきち, 東京は旅行者に人気のある目的地です, とうきょうはりょこうしゃににんきのあるもくてきちです
equipaje, sustantivo, luggage, Passengers should pick up their luggage at baggage claim., 手荷物, てにもつ, 乗客は手荷物を受け取る必要があります, じょうきゃくはてにもつをうけとるひつようがあります
vuelo, sustantivo, flight, The flight to Paris is delayed., フライト, ふらいと, パリ行きのフライトが遅れています, ぱりいきのふらいとがおくれています
retraso, sustantivo, delay, There is a delay due to bad weather., 遅延, ちえん, 悪天候のため遅れがあります, あくてんこうのためおくれがあります
pasajero, sustantivo, passenger, Passengers must show their boarding pass., 乗客, じょうきゃく, 乗客は搭乗券を提示する必要があります, じょうきゃくはとうじょうけんをていじするひつようがあります
piloto, sustantivo, pilot, The pilot prepares for takeoff., パイロット, ぱいろっと, パイロットが離陸の準備をしています, ぱいろっとがりりくのじゅんびをしています
pasillo, sustantivo, aisle, Please keep the aisle clear., 通路, つうろ, 通路を空けてください, つうろをあけてください
torre de control, sustantivo, control tower, The control tower guides planes for takeoff and landing., 管制塔, かんせいとう, 管制塔は離陸と着陸のための飛行機を案内します, かんせいとうはりりくとちゃくりくのためのひこうきをあんないします
despegue, sustantivo, takeoff, The plane is ready for takeoff., 離陸, りりく, 飛行機は離陸の準備ができています, ひこうきはりりくのじゅんびができています
aterrizaje, sustantivo, landing, The landing was smooth., 着陸, ちゃくりく, 着陸はスムーズでした, ちゃくりくはすむーずでした
