palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
mesa, sustantivo, table, There are no available tables at the café right now., テーブル, てーぶる, 現在、カフェには空いているテーブルがありません。, げんざい、かふぇにはあいているてーぶるがありません。
silla, sustantivo, chair, Please take a seat on the nearest chair., 椅子, いす, 最寄りの椅子に座ってください。, もよりのいすにすわってください。
café, sustantivo, coffee, The café serves the best coffee in town., コーヒー, こーひー, そのカフェは町で最高のコーヒーを提供しています。, そのかふぇはまちでさいこうのこーひーをていきょうしています。
taza, sustantivo, cup, She sipped her coffee from a delicate porcelain cup., カップ, かっぷ, 彼女は繊細な磁器のカップからコーヒーを飲んだ。, かのじょはせんさいなじきのかっぷからこーひーをのんだ。
azúcar, sustantivo, sugar, Would you like some sugar with your coffee?, 砂糖, さとう, コーヒーに砂糖を入れますか？, こーひーにさとうをいれますか？
leche, sustantivo, milk, I prefer my coffee with milk., 牛乳, ぎゅうにゅう, 私はコーヒーに牛乳を入れるのが好きです。, わたしはこーひーにぎゅうにゅうをいれるのがすきです。
té, sustantivo, tea, Some people prefer tea over coffee., 茶, ちゃ, コーヒーよりもお茶を好む人もいます。, こーひーよりもおちゃをこのむひともいます。
bebida, sustantivo, drink, What's your favorite café drink?, 飲み物, のみもの, あなたのお気に入りのカフェの飲み物は何ですか？, あなたのおきにいりのかふぇののみものはなんですか？
desayuno, sustantivo, breakfast, The café offers a delicious breakfast menu., 朝食, ちょうしょく, そのカフェはおいしい朝食メニューを提供しています。, そのかふぇはおいしいちょうしょくめにゅーをていきょうしています。
almuerzo, sustantivo, lunch, Let's meet at the café for lunch tomorrow., 昼食, ちゅうしょく, 明日は昼食にカフェで会いましょう。, あしたはちゅうしょくにかふぇであいましょう。
merienda, sustantivo, snack, The café serves light snacks in the afternoon., 軽食, けいしょく, そのカフェは午後に軽食を提供しています。, そのかふぇはごごにけいしょくをていきょうしています。
pastel, sustantivo, cake, They have a variety of delicious cakes at the café., ケーキ, けーき, そのカフェにはさまざまなおいしいケーキがあります。, そのかふぇにはさまざまなおいしいけーきがあります。
galleta, sustantivo, cookie, Would you like a cookie with your coffee?, クッキー, くっきー, コーヒーにクッキーはいかがですか？, こーひーにくっきーはいかがですか？
cliente, sustantivo, customer, The café was full of happy customers., 客, きゃく, カフェは幸せそうな客でいっぱいでした。, かふぇはしあわせそうなきゃくでいっぱいでした。
barista, sustantivo, barista, The barista makes the best cappuccino in town., バリスタ, ばりすた, そのバリスタは町で最高のカプチーノを作ります。, そのばりすたはまちでさいこうのかぷちーのをつくります。
mesero, sustantivo, waiter, The waiter brought our coffee promptly., ウェイター, うぇいたー, ウェイターが私たちのコーヒーをすぐに持ってきました。, うぇいたーがわたしたちのこーひーをすぐにもってきました。
menú, sustantivo, menu, Have you seen the new café menu?, メニュー, めにゅー, 新しいカフェのメニューを見ましたか？, あたらしいかふぇのめにゅーをみましたか？
servilleta, sustantivo, napkin, "Can you pass me a napkin, please?", ナプキン, なぷきん, お願いします、ナプキンを取ってくれますか？, おねがいします、なぷきんをとってくれますか？
cafetería, sustantivo, cafeteria, The university has a cafeteria that serves coffee and snacks., カフェテリア, かふぇてりあ, 大学にはコーヒーや軽食を提供するカフェテリアがあります。, だいがくにはこーひーやけいしょくをていきょうするかふぇてりあがあります。
capuchino, sustantivo, cappuccino, I ordered a cappuccino with extra foam., カプチーノ, かぷちーの, 私はフォームを追加したカプチーノを注文しました。, わたしはふぉーむをついかしたかぷちーのをちゅうもんしました。
espresso, sustantivo, espresso, She enjoys a strong espresso in the morning., エスプレッソ, えすぷれっそ, 彼女は朝に濃いエスプレッソを楽しんでいます。, かのじょはあさにこいえすぷれっそをたのしんでいます。
jarra, sustantivo, pitcher, The pitcher of milk was placed on the counter., ジャグ, じゃぐ, ミルクのジャグがカウンターに置かれていました。, みるくのじゃぐがかうんたーにおかれていました。
pan, sustantivo, bread, The café serves freshly baked bread every morning., パン, ぱん, そのカフェは毎朝新鮮なパンを提供しています。, そのかふぇはまいあさしんせんなぱんをていきょうしています。
caja, sustantivo, cash register, Please pay at the cash register before leaving., レジ, れじ, 退出する前にレジでお支払いください。, たいしゅつするまえにれじでおしはらいください。
hora del café, sustantivo, coffee break, Let's take a coffee break and relax for a bit., コーヒーブレイク, こーひーぶれいく, 小休憩を取って少しリラックスしましょう。, しょうきゅうけいをとってすこしりらっくすしましょう。
platillo, sustantivo, saucer, The saucer was too small for the cup., 受け皿, うけざら, 受け皿はカップに対して小さすぎました。, うけざらはかっぷにたいしてちいさすぎました。
crema, sustantivo, cream, Do you take your coffee with cream?, クリーム, くりーむ, コーヒーにクリームを入れますか？, こーひーにくりーむをいれますか？
cafetera, sustantivo, coffee maker, The coffee maker brews excellent coffee., コーヒーメーカー, こーひーめーかー, そのコーヒーメーカーは素晴らしいコーヒーを淹れます。, そのこーひーめーかーはすばらしいこーひーをいれます。
filtro, sustantivo, filter, The filter needs to be changed., フィルター, ふぃるたー, フィルターを交換する必要があります。, ふぃるたーをこうかんするひつようがあります。
torrefacto, adjetivo, roasted, The café serves roasted coffee., 焙煎, ばいせん, そのカフェは焙煎コーヒーを提供しています。, そのかふぇはばいせんこーひーをていきょうしています。
delicioso, adjetivo, delicious, This café has the most delicious pastries., おいしい, おいしい, このカフェは一番おいしいペイストリーを提供しています。, このかふぇはいちばんおいしいぺいすとりーをていきょうしています。
caliente, adjetivo, hot, "Be careful, the coffee is hot.", 熱い, あつい, 気をつけて、コーヒーは熱いです。, きをつけて、こーひーはあついです。
