palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
asiento, sustantivo, seat, Please fasten your seatbelt while seated., 席, せき, 座っている間はシートベルトを締めてください, すわっているあいだはしーとべるとをしめてください
ventana, sustantivo, window, I prefer a window seat., 窓, まど, 私は窓側の席が好きです, わたしはまどがわのせきがすきです
pasillo, sustantivo, aisle, Please keep the aisle clear., 通路, つうろ, 通路を空けてください, つうろをあけてください
piloto, sustantivo, pilot, The pilot announced that we were landing soon., パイロット, ぱいろっと, パイロットがすぐに着陸すると発表しました, ぱいろっとがすぐにちゃくりくするとはっぴょうしました
tripulación, sustantivo, crew, The crew is preparing for takeoff., 乗務員, じょうむいん, 乗務員が離陸の準備をしています, じょうむいんがりりくのじゅんびをしています
equipaje de mano, sustantivo, carry-on luggage, Please store your carry-on luggage in the overhead compartment., 手荷物, てにもつ, 手荷物は上部の収納スペースに入れてください, てにもつはじょうぶのしゅうのうすぺーすにはいれてください
bandeja, sustantivo, tray, Please return your tray table to its upright position., トレイ, とれい, トレイテーブルを元の位置に戻してください, とれいてーぶるをもとのいちにもどしてください
auriculares, sustantivo, headphones, The airline provides complimentary headphones., ヘッドフォン, へっどふぉん, 航空会社は無料でヘッドフォンを提供しています, こうくうかいしゃはむりょうでへっどふぉんをていきゅうしています
cinturón de seguridad, sustantivo, seatbelt, Please fasten your seatbelt for takeoff., シートベルト, しーとべると, 離陸のためにシートベルトを締めてください, りりくのためにしーとべるとをしめてください
maleta, sustantivo, suitcase, I need to stow my suitcase in the overhead bin., スーツケース, すーつけーす, スーツケースを上部の収納ボックスに片付けなければなりません, すーつけーすをじょうぶのしゅうのうぼっくすにかたづけなければなりません
máscara de oxígeno, sustantivo, oxygen mask, "In case of emergency, put on your oxygen mask first.", 酸素マスク, さんそますく, 緊急時にはまず酸素マスクを装着してください, きんきゅうじにはまずさんそますくをそうちゃくしてください
tarjeta de embarque, sustantivo, boarding pass, Don't forget to bring your boarding pass to the gate., 搭乗券, とうじょうけん, 搭乗口に搭乗券を持って行くのを忘れないでください, とうじょうぐちにとうじょうけんをもっていくのをわすれないでください
charter, sustantivo, charter, We booked a charter flight for our vacation., チャーター, ちゃーたー, 私たちは休暇のためにチャーター便を予約しました, わたしたちはきゅうかのためにちゃーたーびんをよやくしました
servicio, sustantivo, service, The flight attendant provided excellent service., サービス, さーびす, 飛行機の乗務員は素晴らしいサービスを提供しました, ひこうきのじょうむいんはすばらしいさーびすをていきゅうしました
aerolínea, sustantivo, airline, Which airline are you flying with?, 航空会社, こうくうかいしゃ, どの航空会社で飛んでいますか？, どのこうくうかいしゃでとんでいますか
cabina, sustantivo, cabin, The cabin crew prepares for landing., キャビン, きゃびん, キャビンクルーが着陸の準備をしています, きゃびんくるーがちゃくりくのじゅんびをしています
